Feature.ID	Aqm_1_02_23	Aqm_1_02_28	Aqm_1_03_06	Aqm_1_03_13	Aqm_1_03_20	Aqm_1_03_27	Aqm_1_05_01	Aqm_1_06_05	Aqm_1_07_18	Aqm_1_08_13	Aqm_1_09_11	Aqm_1_10_10	Aqm_10_02_23	Aqm_10_02_28	Aqm_10_03_06	Aqm_10_03_13	Aqm_10_03_20	Aqm_10_03_27	Aqm_10_05_01	Aqm_10_06_05	Aqm_10_07_18	Aqm_10_08_13	Aqm_10_09_11	Aqm_10_10_10
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Hydrogenophaga	0	0	184	159	140	57	46	92	65	59	15	68	0	150	2164	1560	391	179	124	37	19	47	7	14
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Hyphomonadaceae;g__SWB02	0	0	0	0	0	3	2	17	0	41	27	87	0	0	0	0	0	181	48	89	427	249	325	675
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__TRA3-20;g__TRA3-20	0	0	34	307	290	290	204	446	44	121	233	165	0	0	0	6	295	401	325	168	136	52	12	38
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Caulobacterales;f__Hyphomonadaceae;g__Hirschia	0	0	0	0	11	23	29	69	76	136	56	56	0	0	0	51	216	443	112	112	269	259	518	1282
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Alteromonadales;f__Alteromonadaceae;g__Rheinheimera	1071	271	75	160	20	0	58	10	0	6	0	7	5313	40	31	102	149	132	0	19	0	0	0	0
d__Bacteria;p__Planctomycetota;c__OM190;o__OM190;f__OM190;g__OM190	0	0	0	0	0	0	642	1161	501	544	316	1017	0	0	0	50	782	799	419	1991	1050	234	434	767
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Sphingobacteriales;f__Sphingobacteriaceae;g__Solitalea	0	0	0	0	93	368	121	26	0	0	0	0	0	0	0	13	47	53	0	0	0	0	0	0
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter	337	323	67	19	15	18	5	0	22	11	0	18	741	194	31	28	25	82	39	0	20	7	34	65
d__Bacteria;p__Proteobacteria;c__Alphaproteobacteria;o__Rhizobiales;f__Hyphomicrobiaceae;g__Hyphomicrobium	0	0	0	0	0	0	14	100	68	122	34	77	0	0	0	3	0	13	9	22	97	84	299	359
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Comamonadaceae;g__Ramlibacter	0	0	0	0	0	0	0	0	0	0	0	0	54	52	28	0	12	0	44	0	0	0	0	0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Chitinophagaceae;g__Aurantisolimonas	0	0	93	57	31	51	16	6	0	0	0	0	0	136	148	1914	429	910	74	13	0	0	0	3
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Chitinophagales;f__Saprospiraceae;g__uncultured	0	0	0	0	0	0	17	7	0	0	0	0	0	0	0	61	447	481	55	0	27	371	434	2568
d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria;o__Burkholderiales;f__Oxalobacteraceae;g__Noviherbaspirillum	0	0	0	0	0	0	0	0	0	0	0	4	220	513	144	56	60	104	29	0	0	7	29	24
